ReviewID,ClothingID,Age,Title,ReviewText,Rating,Recommended,PositiveFeedbackCount,DivisionName,DepartmentName,ClassName
1,151,29,Poor quality,"Love the color and design, very trendy.",2,1,46,General Petite,Dresses,Blouses
2,192,43,Highly recommend,The material is very comfortable and fits perfectly.,2,0,14,Intimates,Dresses,Jackets
3,114,33,Great fit,"I didn’t like the quality, it feels cheap.",2,1,47,Intimates,Bottoms,Pants
4,171,68,Great fit,"Excellent purchase, will buy again.",2,0,45,General Petite,Outerwear,Pants
5,160,54,Highly recommend,The material is very comfortable and fits perfectly.,5,1,39,Intimates,Tops,Blouses
6,120,39,Not as expected,"Not worth the price, very disappointed.",4,0,17,General Petite,Outerwear,Jackets
7,182,46,Poor quality,The material is very comfortable and fits perfectly.,1,1,41,General Petite,Tops,Pants
8,186,31,Not as expected,"I didn’t like the quality, it feels cheap.",3,0,19,Intimates,Outerwear,Pants
9,174,45,Too small,"Looks amazing, great value for money.",5,1,5,General,Dresses,Pants
10,174,22,Great fit,The material is very comfortable and fits perfectly.,1,0,11,Intimates,Bottoms,Blouses
11,187,64,Great fit,"Love the color and design, very trendy.",5,1,1,General,Bottoms,Jackets
12,199,66,Perfect dress,The material is very comfortable and fits perfectly.,5,1,6,General Petite,Dresses,Jackets
13,123,47,Too small,"Not worth the price, very disappointed.",3,1,15,General Petite,Tops,Jackets
14,102,63,Great fit,"Not worth the price, very disappointed.",4,1,2,General,Tops,Jackets
15,121,69,Too small,"Excellent purchase, will buy again.",2,1,44,General Petite,Tops,Dresses
16,152,22,Poor quality,"Not worth the price, very disappointed.",4,1,2,General,Dresses,Dresses
17,101,29,Love it,"The dress was smaller than expected, order one size up.",3,1,26,General,Tops,Jackets
18,187,33,Great fit,"I didn’t like the quality, it feels cheap.",3,1,49,General Petite,Dresses,Blouses
19,129,43,Perfect dress,"I didn’t like the quality, it feels cheap.",3,1,42,General,Outerwear,Dresses
20,137,43,Poor quality,"Looks amazing, great value for money.",1,1,39,Intimates,Outerwear,Pants
21,101,65,Highly recommend,"Looks amazing, great value for money.",4,1,37,Intimates,Dresses,Dresses
22,163,38,Too small,"I didn’t like the quality, it feels cheap.",4,1,32,General Petite,Bottoms,Pants
23,159,56,Highly recommend,"Love the color and design, very trendy.",5,0,27,General Petite,Outerwear,Jackets
24,120,53,Not as expected,"Looks amazing, great value for money.",5,1,0,General,Tops,Dresses
25,132,50,Poor quality,"Excellent purchase, will buy again.",5,1,7,General,Dresses,Blouses
26,175,47,Highly recommend,"Not worth the price, very disappointed.",3,0,36,General,Tops,Dresses
27,157,54,Great fit,"I didn’t like the quality, it feels cheap.",4,1,31,General,Tops,Dresses
28,121,40,Too small,"Looks amazing, great value for money.",3,0,47,Intimates,Bottoms,Dresses
29,188,27,Love it,"I didn’t like the quality, it feels cheap.",1,1,42,Intimates,Tops,Jackets
30,148,22,Poor quality,"The dress was smaller than expected, order one size up.",5,0,36,General Petite,Bottoms,Blouses
31,190,53,Great fit,The material is very comfortable and fits perfectly.,3,1,3,General,Outerwear,Dresses
32,158,51,Perfect dress,"Not worth the price, very disappointed.",3,1,29,General,Dresses,Blouses
33,141,69,Not as expected,"I didn’t like the quality, it feels cheap.",1,1,5,General Petite,Tops,Jackets
34,191,48,Too small,The material is very comfortable and fits perfectly.,2,1,45,General,Dresses,Pants
35,159,27,Poor quality,"Looks amazing, great value for money.",4,1,18,General,Tops,Dresses
36,179,36,Poor quality,The material is very comfortable and fits perfectly.,2,1,31,General,Dresses,Blouses
37,114,49,Love it,"Not worth the price, very disappointed.",5,0,8,General,Tops,Blouses
38,161,18,Love it,"I didn’t like the quality, it feels cheap.",3,1,11,General,Tops,Jackets
39,161,22,Perfect dress,"The dress was smaller than expected, order one size up.",1,0,10,General Petite,Tops,Dresses
40,146,62,Not as expected,"Love the color and design, very trendy.",1,1,45,General,Tops,Pants
41,161,21,Perfect dress,"Looks amazing, great value for money.",4,1,15,General Petite,Tops,Blouses
42,150,33,Great fit,"I didn’t like the quality, it feels cheap.",2,1,0,General,Tops,Dresses
43,154,41,Great fit,"Not worth the price, very disappointed.",4,1,44,Intimates,Tops,Pants
44,163,33,Perfect dress,"Looks amazing, great value for money.",3,1,20,Intimates,Tops,Blouses
45,102,19,Not as expected,"Excellent purchase, will buy again.",4,1,29,Intimates,Tops,Blouses
46,150,66,Perfect dress,The material is very comfortable and fits perfectly.,1,0,12,Intimates,Dresses,Pants
47,106,45,Not as expected,"Love the color and design, very trendy.",1,1,33,General Petite,Bottoms,Pants
48,120,49,Not as expected,"Not worth the price, very disappointed.",5,0,3,General Petite,Tops,Jackets
49,172,44,Highly recommend,"Excellent purchase, will buy again.",5,1,27,General,Bottoms,Dresses
50,138,37,Too small,"I didn’t like the quality, it feels cheap.",3,1,37,Intimates,Tops,Dresses
51,117,41,Not as expected,"The dress was smaller than expected, order one size up.",2,1,30,General Petite,Tops,Jackets
52,103,29,Love it,"Looks amazing, great value for money.",4,0,26,General,Dresses,Blouses
53,188,67,Not as expected,The material is very comfortable and fits perfectly.,3,1,4,General,Outerwear,Pants
54,159,52,Not as expected,"Looks amazing, great value for money.",5,0,24,General Petite,Outerwear,Pants
55,113,50,Not as expected,"Love the color and design, very trendy.",4,1,2,Intimates,Dresses,Pants
56,108,50,Highly recommend,"I didn’t like the quality, it feels cheap.",5,0,32,General,Bottoms,Blouses
57,189,68,Highly recommend,"Looks amazing, great value for money.",4,1,3,Intimates,Outerwear,Pants
58,152,60,Great fit,The material is very comfortable and fits perfectly.,2,1,24,Intimates,Dresses,Pants
59,101,54,Highly recommend,"I didn’t like the quality, it feels cheap.",3,1,19,Intimates,Dresses,Jackets
60,183,29,Love it,"Looks amazing, great value for money.",4,1,33,General,Outerwear,Blouses
61,191,20,Love it,"The dress was smaller than expected, order one size up.",1,1,25,Intimates,Bottoms,Dresses
62,159,18,Highly recommend,"Not worth the price, very disappointed.",1,1,4,General,Dresses,Jackets
63,170,50,Perfect dress,"I didn’t like the quality, it feels cheap.",4,1,34,Intimates,Tops,Jackets
64,143,57,Too small,"Not worth the price, very disappointed.",4,1,27,General,Bottoms,Dresses
65,107,27,Highly recommend,"I didn’t like the quality, it feels cheap.",4,1,28,Intimates,Bottoms,Jackets
66,146,60,Not as expected,"The dress was smaller than expected, order one size up.",1,1,8,General Petite,Outerwear,Blouses
67,134,61,Poor quality,"Not worth the price, very disappointed.",1,1,37,Intimates,Outerwear,Pants
68,177,46,Too small,"Excellent purchase, will buy again.",4,0,49,Intimates,Tops,Blouses
69,180,30,Too small,The material is very comfortable and fits perfectly.,5,1,5,General,Dresses,Dresses
70,135,29,Love it,"Excellent purchase, will buy again.",5,0,18,General,Outerwear,Dresses
71,149,48,Too small,"Looks amazing, great value for money.",2,1,43,Intimates,Outerwear,Jackets
72,103,63,Highly recommend,"The dress was smaller than expected, order one size up.",3,1,10,General Petite,Bottoms,Blouses
73,101,19,Not as expected,"Excellent purchase, will buy again.",5,1,1,General Petite,Outerwear,Blouses
74,105,68,Not as expected,"I didn’t like the quality, it feels cheap.",1,1,46,General,Outerwear,Dresses
75,153,67,Great fit,"Looks amazing, great value for money.",5,1,43,General Petite,Outerwear,Blouses
76,103,52,Not as expected,"Looks amazing, great value for money.",2,1,43,Intimates,Outerwear,Dresses
77,153,40,Not as expected,"Excellent purchase, will buy again.",2,1,8,General,Bottoms,Blouses
78,192,34,Love it,"Excellent purchase, will buy again.",3,0,20,Intimates,Tops,Blouses
79,162,43,Not as expected,"The dress was smaller than expected, order one size up.",5,1,23,General,Tops,Blouses
80,117,25,Great fit,The material is very comfortable and fits perfectly.,1,0,33,General,Dresses,Dresses
81,189,46,Poor quality,"Excellent purchase, will buy again.",1,1,21,General,Outerwear,Jackets
82,143,43,Highly recommend,"Love the color and design, very trendy.",4,1,2,General,Bottoms,Blouses
83,133,27,Love it,"Excellent purchase, will buy again.",1,1,11,General Petite,Dresses,Dresses
84,173,43,Poor quality,"Not worth the price, very disappointed.",3,1,27,Intimates,Dresses,Dresses
85,161,51,Love it,"I didn’t like the quality, it feels cheap.",3,1,29,Intimates,Tops,Blouses
86,199,68,Perfect dress,"Love the color and design, very trendy.",1,0,25,Intimates,Bottoms,Blouses
87,113,58,Too small,"Love the color and design, very trendy.",1,1,47,General,Bottoms,Jackets
88,194,24,Perfect dress,"Not worth the price, very disappointed.",4,1,20,General Petite,Bottoms,Dresses
89,147,21,Not as expected,"Not worth the price, very disappointed.",1,1,27,Intimates,Tops,Dresses
