review_id,product_id,category,rating,review_text
1,1001,Dresses,5,"Absolutely loved this dress! The fit was perfect and fabric feels premium."
2,1002,Tops,4,"Nice top, color is vibrant. Slightly loose but still good."
3,1003,Jeans,2,"The jeans are uncomfortable and the material is rough."
4,1004,Skirts,1,"Terrible quality. Stitching came apart after one wear."
5,1005,Outerwear,3,"Average jacket. Warm but the zipper is cheap."
6,1006,Shoes,5,"Super comfy sneakers, wore them all day with no issues."
7,1007,Dresses,4,"Pretty dress but the straps are a little short."
8,1008,Tops,2,"Poor stitching on the sleeves. Not worth the price."
9,1009,Accessories,5,"This scarf is beautiful and soft. Great purchase!"
10,1010,Jeans,3,"Fit was okay but nothing special. Standard quality."
11,1011,Shoes,1,"Horrible shoes, soles came off in a week."
12,1012,Outerwear,4,"Good coat, keeps me warm in winter. Looks stylish too."
13,1013,Dresses,5,"Perfect for parties! Got so many compliments."
14,1014,Tops,3,"Shirt is fine but wrinkles too easily."
15,1015,Accessories,4,"Nice handbag, plenty of space. Stitching is neat."
