topic_id,top_terms
0,"look, like, look like, realli, just, feel, model, pictur, good, way, make, didn, fabric, materi, tri"
1,"dress, love dress, flatter, beauti, dress fit, dress dress, slip, comfort, perfect, dress beauti, beauti dress, dress look, line, wed, dress perfect"
2,"small, larg, run, medium, size, usual, order, big, run larg, littl, size small, run small, normal, doe run, review"
3,"size, true, true size, fit true, fit, run true, size fit, size size, run, qualiti, recommend, size love, order size, size look, usual size"
4,"jean, pant, pair, leg, skinni, super, comfort, skinni jean, cute, perfect, stretch, pilcro, soft, super cute, ankl"
5,"color, nice, fabric, beauti, skirt, soft, flatter, blue, cut, green, pretti, light, materi, realli, bought"
6,"shirt, love shirt, cute, white, sleev, littl, super, shirt fit, soft, tee, great shirt, like shirt, super cute, boxi, bought shirt"
7,"sweater, love sweater, sleev, soft, warm, long, coat, cozi, itchi, beauti sweater, knit, fall, winter, great sweater, sweater look"
8,"great, look great, fit great, fit, look, great fit, qualiti, great qualiti, great color, fall, great jean, great dress, color great, dress great, summer"
9,"love, love love, love dress, absolut, absolut love, love color, love fit, style, feel, design, love shirt, realli love, fell love, love look, fell"
10,"fit, petit, order, xs, tri, length, perfectli, size, fit perfectli, regular, short, store, waist, just, lb"
11,"wear, compliment, time, wore, receiv, comfort, bought, lot, got, work, day, easi, wait, receiv compliment, purchas"
